District,District_Code,Mandal,Mandal_Code,Village,Village_Code
MEDCHAL-MALKAJGIRI,15_2,MEDCHAL,10,MUNIRABAD,1508025
MEDCHAL-MALKAJGIRI,15_2,MEDCHAL,10,NUTHANKAL,1508002
MEDCHAL-MALKAJGIRI,15_2,MEDCHAL,10,POCHAMPALLE,1508028
MEDCHAL-MALKAJGIRI,15_2,MEDCHAL,10,PUDOOR,1508021
MEDCHAL-MALKAJGIRI,15_2,MEDCHAL,10,RAILAPUR,1508017
MEDCHAL-MALKAJGIRI,15_2,MEDCHAL,10,RAJ BOLLARAM,1508022
SANGAREDDY,17_2,AMEENPUR,01,AMEENAPUR,1737026
SANGAREDDY,17_2,AMEENPUR,01,ILAPUR,1737025
SANGAREDDY,17_2,AMEENPUR,01,KRISHTAREDDIPET,1737007
SANGAREDDY,17_2,AMEENPUR,01,PATELGUDA,1737024
SANGAREDDY,17_2,AMEENPUR,01,RENDLAGADDA,1737023
SANGAREDDY,17_2,AMEENPUR,01,SULTANPUR,1737006
SANGAREDDY,17_2,AMEENPUR,01,WADAKPALLE,1737005
SANGAREDDY,17_2,ANDOLE,02,AKSANPALLE,1726015
SANGAREDDY,17_2,ANDOLE,02,ALMAIPET,1726024
SANGAREDDY,17_2,ANDOLE,02,ANANTHASAGAR,1726010
SANGAREDDY,17_2,ANDOLE,02,ANDOLE,1726022
SANGAREDDY,17_2,ANDOLE,02,BRAHMANPALLE,1726014
SANGAREDDY,17_2,ANDOLE,02,CHINTAKUNTA,1726006
SANGAREDDY,17_2,ANDOLE,02,DAKOOR,1726019
SANGAREDDY,17_2,ANDOLE,02,DANAMPALLE,1726011
SANGAREDDY,17_2,ANDOLE,02,JOGIPET,1726020
SANGAREDDY,17_2,ANDOLE,02,KANSANPALLE,1726003
SANGAREDDY,17_2,ANDOLE,02,KICHANAPALLE,1726005
SANGAREDDY,17_2,ANDOLE,02,KODEKAL,1726017
SANGAREDDY,17_2,ANDOLE,02,KONDAREDDIPALLE,1726027
SANGAREDDY,17_2,ANDOLE,02,MANSANPALLE,1726008
SANGAREDDY,17_2,ANDOLE,02,MASANPALLY,1726029
SANGAREDDY,17_2,ANDOLE,02,NADLAPUR,1726018
SANGAREDDY,17_2,ANDOLE,02,NEERDIGUNTA,1726013
SANGAREDDY,17_2,ANDOLE,02,POSANIPET,1726009
SANGAREDDY,17_2,ANDOLE,02,POTHAREDDIPALLE,1726026
SANGAREDDY,17_2,ANDOLE,02,RAMSANPALLE,1726004
SANGAREDDY,17_2,CHOWTAKUR,27,CHAKRIYAL,1733028
SANGAREDDY,17_2,CHOWTAKUR,27,CHOUTKUR,1733015
SANGAREDDY,17_2,CHOWTAKUR,27,GANGOJIPET,1733027
SANGAREDDY,17_2,CHOWTAKUR,27,KORPOLE,1733023
SANGAREDDY,17_2,CHOWTAKUR,27,LINGAMPALLE,1733024
SANGAREDDY,17_2,CHOWTAKUR,27,POSANIPALLE,1733014
SANGAREDDY,17_2,CHOWTAKUR,27,SARAFPALLE,1733022
SANGAREDDY,17_2,CHOWTAKUR,27,SERIRAMREDDIGUDA,1733020
SANGAREDDY,17_2,CHOWTAKUR,27,SIVAMPET,1733029
SANGAREDDY,17_2,CHOWTAKUR,27,SULTANPUR,1733021
SANGAREDDY,17_2,CHOWTAKUR,27,TADDANPALLE,1733026
SANGAREDDY,17_2,CHOWTAKUR,27,VENDIKOLE,1733030
SANGAREDDY,17_2,CHOWTAKUR,27,VENKATAKISTAPUR @ ANGAD,1733025
SANGAREDDY,17_2,GUMMADIDALA,03,ANNARAM,1739013
SANGAREDDY,17_2,GUMMADIDALA,03,ANTHARAM,1739006
SANGAREDDY,17_2,GUMMADIDALA,03,BONTHAPALLE,1739010
SANGAREDDY,17_2,GUMMADIDALA,03,DACHARAM,1739008
SANGAREDDY,17_2,GUMMADIDALA,03,DOMADUGU,1739011
SANGAREDDY,17_2,GUMMADIDALA,03,GUMMADIDALA,1739009
SANGAREDDY,17_2,GUMMADIDALA,03,KANKUNTA,1739007
SANGAREDDY,17_2,GUMMADIDALA,03,KOTHAPALLE,1739002
SANGAREDDY,17_2,GUMMADIDALA,03,LAKSHMAPUR,1739001
SANGAREDDY,17_2,GUMMADIDALA,03,MANDAPUR,1739005
SANGAREDDY,17_2,GUMMADIDALA,03,NALLAPALLE,1739004
