id,raw_data_id,sentiment_score,sentiment_label,confidence,processed_at
2616,2948,0.1339266411960125,neutral,0.7785570621490479,2026-01-17 12:26:02.649021
2617,2949,-0.04264290630817413,neutral,0.6778640151023865,2026-01-17 12:26:02.649021
2618,2950,-0.21163465827703476,neutral,0.6596404910087585,2026-01-17 12:26:02.649021
2632,2966,0.06796006113290787,neutral,0.8157293200492859,2026-01-17 12:26:02.649021
2646,2978,-0.16859424859285355,neutral,0.7389171123504639,2026-01-17 12:26:02.649021
2649,2981,-0.28074219077825546,neutral,0.6078948378562927,2026-01-17 12:26:02.649021
2650,2982,-0.09959953278303146,neutral,0.7783689498901367,2026-01-17 12:26:02.649021
2653,2985,-0.08567788451910019,neutral,0.6904979348182678,2026-01-17 12:26:02.649021
2654,2986,0.1348758153617382,neutral,0.7714102864265442,2026-01-17 12:26:02.649021
2673,3000,0.461096441373229,neutral,0.5041770935058594,2026-01-17 12:26:02.649021
2677,3004,-0.12881051003932953,neutral,0.7350641489028931,2026-01-17 12:26:02.649021
2678,3005,-0.042825452983379364,neutral,0.7480899691581726,2026-01-17 12:26:02.649021
2680,3007,0.0515405535697937,neutral,0.7588520050048828,2026-01-17 12:26:02.649021
2681,3008,0.1868770234286785,neutral,0.7597764730453491,2026-01-17 12:26:02.649021
2689,3016,-0.05736704170703888,neutral,0.843095600605011,2026-01-17 12:26:02.649021
2731,3073,-0.215758815407753,neutral,0.634389340877533,2026-01-17 12:26:02.649021
2732,3077,-0.0177743062376976,neutral,0.8580319881439209,2026-01-17 12:26:02.649021
2752,3097,-0.38799067959189415,neutral,0.5517415404319763,2026-01-17 12:26:02.649021
2753,3098,-0.2537654973566532,neutral,0.631171464920044,2026-01-17 12:26:02.649021
2754,3099,0.14265195652842522,neutral,0.7566531300544739,2026-01-17 12:26:02.649021
2756,3101,-0.21738441661000252,neutral,0.6821455359458923,2026-01-17 12:26:02.649021
2769,3117,-0.09037882089614868,neutral,0.8399493098258972,2026-01-17 12:26:02.649021
2795,3143,0.07008890062570572,neutral,0.8137427568435669,2026-01-17 12:26:02.649021
2810,3151,0.5395566076040268,positive,0.5449978113174438,2026-01-17 12:26:02.649021
2811,3152,0.07620035111904144,neutral,0.7808191776275635,2026-01-17 12:26:02.649021
2812,3153,-0.40874888002872467,neutral,0.5211936235427856,2026-01-17 12:26:02.649021
