id,name,city,region,geom,created_at,boundary,school_count,hospital_count
205,Sai Baba Ashram Road,Bangalore,West Hyderabad,POINT(77.7623756 13.0170905),2026-02-13 12:14:23.964694,,0,0
227,Thanisandra Road,Bangalore,West Hyderabad,POINT(77.6316152 13.0522499),2026-02-13 12:14:24.083674,,0,0
183,Old Madras Road,Bangalore,West Hyderabad,POINT(77.6449072 12.9859128),2026-02-13 12:14:23.830655,,0,0
265,AGARA,Bangalore,West Hyderabad,POINT(77.6438684 12.9091524),2026-02-19 10:36:46.781721,,0,0
266,ANUGONDANAHALLI,Bangalore,West Hyderabad,POINT(77.8145716 12.9582608),2026-02-19 10:36:46.781721,,0,0
268,"Aerospace Park, Bengaluru",Bangalore,West Hyderabad,POINT(77.7710374 13.2229369),2026-02-19 10:36:46.781721,,0,0
272,Anekal,Bangalore,West Hyderabad,POINT(77.7393213 12.7784026),2026-02-19 10:36:46.781721,,0,0
273,AnjanaPura,Bangalore,West Hyderabad,POINT(77.5540587 12.8601312),2026-02-19 10:36:46.781721,,0,0
274,BIDARAHALLI,Bangalore,West Hyderabad,POINT(77.7145707 13.0619796),2026-02-19 10:36:46.781721,,0,0
276,BOMMANAHALLI,Bangalore,West Hyderabad,POINT(77.6230028 12.9034582),2026-02-19 10:36:46.781721,,0,0
277,Baglur,Bangalore,West Hyderabad,POINT(77.5392228 12.9969017),2026-02-19 10:36:46.781721,,0,0
278,Banashankari,Bangalore,West Hyderabad,POINT(77.556621 12.9278196),2026-02-19 10:36:46.781721,,0,0
282,Belahalli,Bangalore,West Hyderabad,POINT(77.6364044 13.1013059),2026-02-19 10:36:46.781721,,0,0
283,Belathur,Bangalore,West Hyderabad,POINT(77.7408733 12.9989822),2026-02-19 10:36:46.781721,,0,0
284,Bellahalli,Bangalore,West Hyderabad,POINT(77.6427148 13.0997677),2026-02-19 10:36:46.781721,,0,0
285,Bendiganahalli,Bangalore,West Hyderabad,POINT(77.7582582 13.0683794),2026-02-19 10:37:25.627888,,0,0
286,Bettahalasuru,Bangalore,West Hyderabad,POINT(77.6071413 13.1621697),2026-02-19 10:37:25.627888,,0,0
287,Bidadi,Bangalore,West Hyderabad,POINT(77.5822896 12.8861649),2026-02-19 10:37:25.627888,,0,0
288,Binnypet,Bangalore,West Hyderabad,POINT(77.5614856 12.9643587),2026-02-19 10:37:25.627888,,0,0
289,Bommasandra,Bangalore,West Hyderabad,POINT(77.6892217 12.816016),2026-02-19 10:37:25.627888,,0,0
290,Bommenahalli,Bangalore,West Hyderabad,POINT(77.7465943 13.0742536),2026-02-19 10:37:25.627888,,0,0
291,Bommenahalli village,Bangalore,West Hyderabad,POINT(77.7465943 13.0742536),2026-02-19 10:37:25.627888,,0,0
292,Bovipalya,Bangalore,West Hyderabad,POINT(77.5471882 13.0078344),2026-02-19 10:37:25.627888,,0,0
293,Budigere,Bangalore,West Hyderabad,POINT(77.7471989 13.1351506),2026-02-19 10:37:25.627888,,0,0
294,Budigere Road,Bangalore,West Hyderabad,POINT(77.7471989 13.1351506),2026-02-19 10:37:25.627888,,0,0
